						
	NPC	Join				
#	Professions	Cost/w	Action Text	In Party Benefit	Join Text	Dismiss Text
						
1	Кузнец	200		Неограниченный ремонт оружия. %01 забирает %17 процента всего золота, которое вы находите.	Я с радостью присоединюсь к вам за 200 монет и %17 процента золота, которое мы найдём. Я починю любое оружие, пока мы работаем вместе.	"О, пожалуйста, не прогоняйте меня! Я буду работать усерднее!"
2	Оружейник	200		Неограниченный ремонт доспехов. %01 забирает %17 процента всего золота, которое вы находите.	Ищу работу по ремонту доспехов. Вся плата - 200 золотых монет для начала и %17 процента от найденного золота. Вы не пожалеете, если возьмёте меня на службу.	Что-то не так? Разве я работаю недостаточно хорошо?
3	Алхимик	400		Неограниченный ремонт магических предметов. %01 забирает %17 процента всего золота, которое вы находите.	"Я могу починить для вас любой неисправный магический предмет, кроме оружия и доспехов. Я прошу 400 золотых монет для начала и %17 процента от найденного золота."	"Помилуйте, господин! Я стараюсь изо всех сил!"
4	Учёный	500		Неограниченное определение типа предметов и дополнительные 5 процентов к любому полученному опыту. %01 забирает %17 процента всего золота, которое вы находите.	"У меня есть диплом школы волшебства Томаса Грэя, я легко могу распознать любой магический предмет. Я буду работать на вас за 500 золотых монет и %17 процента от золота, которое мы найдём вместе. "	Почему вы выгоняете меня? Проводник
5	Проводник	100		Все путешествия по карте короче на один день (самое быстрое - 1 день). %01 забирает %17 процента всего золота, которое вы находите.	Я знаю все кратчайшие пути и просёлочные дороги. Я стану вашим проводником всего за 100 золотых монет и %17 процента от золота, которое мы найдём вместе.	Но я же прошу совсем не много! Неужели вы не можете позволить себе платить %17 процента?
6	Охотник-следопыт	200		Все путешествия по карте короче на два дня (самое быстрое - 1 день). %01 забирает %17 процента всего золота, которое вы находите.	"Я знаю все кратчайшие пути и просёлочные дороги. Я стану вашим проводником всего за 200 золотых монет и %17 процента от золота, которое мы найдём вместе."	Но я же прошу совсем не много! Неужели вы не можете позволить себе платить %17 процента?
7	Следопыт	300		Все путешествия по карте короче на три дня (самое быстрое - 1 день). %01 забирает %17 процента всего золота, которое вы находите.	"Я знаю все кратчайшие пути и просёлочные дороги. Я стану вашим проводником всего за 300 золотых монет и %17 процента от золота, которое мы найдём вместе."	Но я же прошу совсем не много! Неужели вы не можете позволить себе платить %17 процента?
8	Мореход	100		Все плавания короче на два дня (самое быстрое - один день) %01 забирает %17 процента всего золота, которое вы находите.	"Ах, да. Я умею, это самое... ходить. На корабле. Я помогу быстрее добраться, куда надо. Со мной вы приплывёте в любое место на два дня раньше, чем обычно. Я, это, того, беру за работу 100 монет, и потом %17 процента от золота, что мы найдём."	"Что? Вы собираетесь просто выставить меня вон? Здесь? "
9	Штурман	200		Все плавания короче на три дня (самое быстрое - один день) %01 забирает %17 процента всего золота, которое вы находите.	"Ушло немало времени, на составление точных карт морей и океанов, окружающих наш континент. С моими картами и навыками вы приплывёте в любое место на три дня раньше, чем обычно. Плата - 200 золотых монет для начала и %17 процента от найденного золота."	Чем вызвано такое обращение? Кажется, мы договорились...
10	Знахарь	500	Исцелить отряд	Излечивает урон всех членов отряда раз в день. %01 забирает %17 процента всего золота, которое вы находите.	"Я могу отправиться с вами, дети мои, за первоначальное пожертвование в 500 монет и %17 процента золота, которое мы найдём, в пользу моей церкви. Раз в день я смогу исцелять все ваши раны, кроме смертельных."	Как вы могли даже подумать о том, чтобы отказаться от моих услуг? А кто будет лечить ваши раны?
11	Знахарь-эксперт	2000	Исцелить отряд	"Исцеляет весь урон и состояния членов отряда (кроме смерти, опьянения и уничтожения) раз в день. %01 забирает %17 процента всего золота, которое вы находите."	"Как знахарь-эксперт я могу врачевать ваши раны и многие другие состояния (кроме смерти или превращения в камень) раз в день. Всё, что я прошу - это 2000 золотых монет для моей церкви и %17 процента от найденного золота."	Как вы могли даже подумать о том, чтобы отказаться от моих услуг? А кто будет лечить ваши раны?
12	Знахарь-мастер	5000	Исцелить отряд	Полностью исцеляет команду от всего урона и состояний раз в день. %01 забирает %17 процента всего золота, которое вы находите.	"Я - знахарь-мастер и мои услуги пользуются огромным спросом. Но я могу излечивать магическим способом лишь раз в день. Я могу вылечить всё, кроме полного уничтожения, и прошу за это скромное пожертвование в 5000 монет для моего храма и %17 процента от золота, которое мы найдём вместе."	Как вы могли даже подумать о том, чтобы отказаться от моих услуг? А кто будет лечить ваши раны?
13	Учитель	300		Десятипроцентная прибавка ко всему полученному опыту. %01 забирает %17 процента всего золота, которое вы находите.	"Я помогу вам переводить и понимать всё, что вы встретите на пути. Надеюсь, мои советы помогут вам увеличить свой опыт. Я беру за свои услуги 300 монет и %17 процента от найденного золота."	"Без моих наставлений о природе вещей вы будете учиться намного медленнее! Не увольняйте меня!"
14	Инструктор	700		Пятнадцатипроцентная прибавка ко всему полученному опыту. %01 забирает %17 процента всего золота, которое вы находите.	"Я помогу вам переводить и понимать всё, что вы встретите на пути. Надеюсь, мои советы помогут вам увеличить свой опыт. Я беру за свои услуги 700 монет и %17 процента от найденного золота."	"Без моих наставлений о природе вещей вы будете учиться намного медленнее! Не увольняйте меня!"
15	Мастер-оружейник	300		Два дополнительных очка к оружейному навыку для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"Любому пригодится полезный совет, а мои советы по оружию и ведению боя - одни из лучших. В ходе боя моё руководство улучшит ваши навыки обращения с оружием Я беру за работу 300 монет и %17 процента от найденного золота."	И вы просто так отказываетесь от моих ценных советов? Позор!
16	Мастер по оружию	400		Три дополнительных очка к оружейному навыку для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"Любому пригодится полезный совет, а мои советы по оружию и ведению боя - самые лучшие. В ходе боя моё руководство существенно повысит ваши навыки обращения с оружием Я беру за работу не меньше 400 монет и %17 процента от найденного золота."	И вы просто так отказываетесь от моих ценных советов? Позор!
